0.230366 	 1927548.435029 
0.450440 	 2224514.561419 
0.661128 	 2550173.451089 
0.863222 	 2905803.290255 
1.057417 	 3292678.599211 
1.244325 	 3712070.401773 
1.424490 	 4165246.380146 
1.598396 	 4653471.017007 
1.766477 	 5178005.726308 
1.929122 	 5740108.974084 
2.086682 	 6341036.390352 
2.239476 	 6982040.873057 
2.387791 	 7664372.684859 
2.531893 	 8389279.543486 
2.672020 	 9158006.706257 
2.808392 	 9971797.049320 
2.941213 	 10831891.142086 
3.070667 	 11739527.317275 
3.196927 	 12695941.736941 
3.320152 	 13702368.454826 
3.440488 	 14760039.475323 
3.558073 	 15870184.809321 
3.673033 	 17034032.527168 
3.785486 	 18252808.808976 
3.895543 	 19527737.992450 
4.003307 	 20860042.618419 
4.108875 	 22250943.474243 
4.212337 	 23701659.635221 
4.313778 	 25213408.504147 
4.413279 	 26787405.849125 
4.510914 	 28424865.839769 
